haplogroup	example_accession_1	example_accession_2
U3a1	JX153939	JQ705387
U3a1a	GU122986	JQ703990
U3a1a1	JN203207	JX153017
U3a1b	JQ702681	JQ702677
U3a1c	JQ703769	AF381982
U3a1c1	JQ705739	HQ286323
U3a2	KC911305	
U3a2a	FJ348224	
U3a2a1	AY882383	
U3a2a1a	KC911522	KC911568
U3a3	JQ704440	HM852895
U3c	HM852803	HM852797
U3b	JN663830	AY714023
U3b1	EF177433	JQ703911
U3b1a	EF556158	
U3b1a1	KC911623	AY882385
U3b1b	FJ711758	JQ705043
U3b2	JQ704130	JQ702150
U3b2a	JN969086	
U3b2a1	KC911445	FJ348193
U3b2a1a	HQ257369	JX153055
U3b2b	JQ704981	KC250336
U3b2c	KC911486	KC911459
U3b3	HQ384204	AY882384
U4a1	JQ703947	EU597575
U4a1a	HQ659692	JQ703929
U4a1a1	EU545417	EU545451
U4a1a2	JQ703887	JQ705687
U4a1a3	JQ704345	JQ703977
U4a1b	JQ702270	
U4a1b1	EU545459	GU562438
U4a1b1a	GU252762	EU428753
U4a1b2	EU545432	EU545429
U4a1c	EU545428	EU545427
U4a1d	FJ493506	GU123031
U4a1e	JX021669	KF148090
U4a2	EU545430	JQ704052
U4a2a	EF222249	EU545450
U4a2a1	EF222236	EF222250
U4a2a2	EU545461	JX154043
U4a2a3	EF222239	EU545446
U4a2b	GU123033	EF222241
U4a2c	EU545464	
U4a2c1	EF222252	EF222242
U4a2d	EU545421	JQ705152
U4a2e	EU545442	JQ702862
U4a2f	JQ705828	JQ704811
U4a2g	JQ480650	EU545434
U4a2h	EF222235	
U4a2h1	JQ702549	JX153725
U4a3	EF060364	
U4a3a	EU545423	KF938935
U4b	EU545444	JQ702211
U4b1a1	HM044301	
U4b1a1a	JQ705255	JQ703912
U4b1a1a1	AY882388	KC911524
U4b1a2	HM041972	
U4b1a2a	EU545415	JQ704098
U4b1a2b	JX153376	JQ701990
U4b1a3	EU545419	
U4b1a3a	EU571946	FJ858802
U4b1a4	FJ147313	FJ147316
U4b1_T146C!_T152C!	FJ147315	
U4b1b1	JQ705342	JN647925
U4b1b1a	HM535647	GU797476
U4b1b1b	JQ704155	JQ702864
U4b1b1_T16311C!	FJ858877	
U4b1b1c	GU123041	KC911460
U4b1b1d	NA12156	JX153693
U4b1b2	JQ704676	HG00155
U4b2	EU140898	
U4b2a	JQ702783	JQ701937
U4b2a1	GQ891957	
U4b2a1a	GU365881	HQ190906
U4b3	FJ147322	JX152874
U4c1	EU545465	KC911375
U4c1a	JX153870	EF657519
U4c2	HQ418462	
U4c2a	EU545460	JQ702690
U4d1	HQ167735	
U4d1a	GU123021	
U4d1a1	JQ702267	
U4d1a1a	JQ704741	HG00186
U4d1b	EU545438	GU122982
U4d2	FJ230891	EU545426
U4d3	GU727822	
U9a	AY882389	
U9a1	GU170820	FJ770944
U9b	GU990521	
U9b1	AY882390	EU597540
U7	AY714004	
U7a	EF556179	KC911622
U7a1	KC911620	
U7a1a	AY714014	AY714013
U7a2	FJ858878	
U7a2a	KC911509	EU597503
U7a3a	KC911455	JQ705966
U7a3b	KF418766	KC911508
U7a4	HM852777	
U7a4a	KC911299	
U7a4a1	KC911402	HM852823
U7a4a1a	KC911288	KC911347
U7a5	JQ703913	JQ703978
U7b	JQ705198	AY882391
U7b1	EU445683	EU445684
U7b2	JX153191	JQ704100
U8a	JQ702759	
U8a1a1	JQ705347	AY882392
U8a1a1a	GU299344	
U8a1a1a1	HM765458	JQ705281
U8a1a1b	JX273295	
U8a1a1b1	HQ022823	HM008694
U8a1a2	JQ702761	HM113490
U8a1a3	JX297480	HQ336423
U8a1a4	JX273297	DQ200802
U8a1b	JQ611709	HG00263
U8a2	DQ200801	HQ384210
U8b1a1	KC911451	AY882393
U8b1a2a	KC911536	DQ200805
U8b1a2_T16311C!	JX273294	
U8b1a2b	JX273296	JX153047
U8b1b	JQ705831	
U8b1b1	JQ704970	NA20786
U8b1b2	JX273243	JX153058
K1a	JQ706038	HM043706
K1a1a	JQ705483	JQ702802
K1a1a1	FJ348183	GU722598
K1a1a2	JQ704696	
K1a1a2a	GU980957	
K1a1a2a1	AY495257	JQ705393
K1a1b	JN048471	
K1a1b1	DQ200804	
K1a1b1a	DQ301795	HM101136
K1a1b1b	JQ702898	
K1a1b1b1	JQ704983	AY339554
K1a1b1c	GU592026	HE576978
K1a1b1d	JQ702782	JQ704096
K1a1b1e	JQ704056	JQ704207
K1a1b1f	JQ703737	JX048065
K1a1b1g	FJ348218	JQ668027
K1a1b2a	AY714044	
K1a1b2a1	HQ586011	
K1a1b2a1a	HQ413154	JQ701858
K1a1b2b	FJ865502	JQ702624
K1a1c	JX153526	JQ705697
K1a2	KC911410	JQ703309
K1a2a	HG01617	EU915473
K1a2a1	JQ702748	JQ701856
K1a2a2	JQ703581	HG00346
K1a2b	HM041971	JQ704017
K1a2c	JQ705149	KC477768
K1a3	AY495264	JQ703347
K1a3a	JQ705485	EU344156
K1a3a1	JQ703648	JQ703096
K1a3a1a	DQ301814	
K1a3a1b	AY495258	GU799583
K1a3a2	JQ705957	JQ702693
K1a3a3	JQ701962	HQ839861
K1a3a4	HQ610202	JQ703775
K1a4	AY495261	
K1a4a	EU603401	JQ702521
K1a4a1	AY495262	JQ703493
K1a4a1a	JQ702175	
K1a4a1a_T195C!	JQ702213	JQ703444
K1a4a1a1	JQ702811	JQ702773
K1a4a1a3	GU122978	JN122621
K1a4a1a2	JQ703168	
K1a4a1a2a	JN559854	HM031133
K1a4a1a2b	JQ702896	JQ701810
K1a4a1b	JQ703407	
K1a4a1b1	GU191795	EU677385
K1a4a1b2	JQ703171	JQ704948
K1a4a1c	JN258704	
K1a4a1c1	JQ705215	EU692798
K1a4a1d	JQ705404	JQ705558
K1a4a1e	JQ702341	JQ704526
K1a4a1f	JQ705816	
K1a4a1f1	JQ702302	JQ702760
K1a4a1g	JQ704759	JX048671
K1a4a1h	JN001930	HG01051
K1a4a1i	JQ702315	KF417432
K1a4b	EU675299	
K1a4b1	EU600366	DQ112930
K1a4c	DQ301809	
K1a4c1	JQ703523	HQ538515
K1a4d	EU926621	JF710373
K1a4e	JQ704761	EF657295
K1a4f	KC900995	
K1a4f1	JQ704764	EF177416
K1a4g	JQ705656	HG00121
K1a4h	JQ703361	
K1a4h1	KC911589	JQ702911
K1a4i	JX273270	JX273269
K1a4_T146C!	JX273271	
K1a4j	KC878714	
K1a4j1	KC911477	JX273292
K1a5a	EU600368	JX273274
K1a5b	HQ637410	JQ706059
K1a6	EU600369	JX273288
K1a7	DQ301807	JQ706029
K1a8	JQ702902	
K1a8a	DQ301817	
K1a8a1	DQ301816	DQ301818
K1a8b	FJ460551	JQ706043
K1a_T195C!	FJ348175	GU471244
K1a9	GU295448	JQ704228
K1a10	JQ702740	
K1a10a	JX535003	HM054058
K1a13	JQ702796	
K1a13a	GU944475	JN202723
K1a14	GU471243	HQ675035
K1a15	JQ703379	JQ702674
K1a16	JQ703365	JQ702271
K1a26	AY882395	GU811147
K1a_C150T	JQ702273	
K1a11	JX193906	JQ705747
K1a11a	JN657206	JQ703607
K1a11a1	JQ705336	JX679248
K1a11b	EU523125	EU603402
K1a24	JQ703891	
K1a24a	JQ702717	JF489152
K1a30	JQ705751	
K1a30a	KC878711	KC878710
K1a31	JQ706056	KC911309
K1a12	JQ703323	
K1a12a	EU600362	JQ703711
K1a12a1	JQ706035	
K1a12a1a	JQ706066	JQ706065
K1a17	JQ706034	
K1a17a	JQ706064	EU600361
K1a18	JQ706048	EU600365
K1a19	JQ308836	JQ706040
K1a19a	JQ706039	JQ706063
K1a23	JQ703522	JQ706042
K1a25	HM625696	JQ706051
K1a27	JN415475	JQ705460
K1a28	JF303729	JX273263
K1a29	JX273268	
K1a29a	JX273252	HM852805
K1b1a1	GU797785	JQ703130
K1b1a1a	JQ702168	JQ702919
K1b1a1b	JQ702752	EF657385
K1b1a1c	GU361772	
K1b1a1c1	EU239477	KC158584
K1b1a1d	NA11892	
K1b1a1d1	JX891380	JX154012
K1b1a2	EU714300	EF177415
K1b1b	DQ301800	
K1b1b1	AY495260	JQ703412
K1b1c	EU600370	GU455378
K1b2a	JQ705467	
K1b2a1	HQ000094	FJ348210
K1b2a1a	JQ705289	
K1b2a1a1	JQ705519	JQ702926
K1b2a2	JQ705044	EU372659
K1b2a2a	EU849091	JQ702636
K1b2a3	JQ703021	JX273244
K1b2b	JQ703876	JX273245
K1b2b1	JX153522	KC257396
K1c1	GU936958	GU722602
K1c1a	HM851442	AY882394
K1c1b	AY495250	AY495243
K1c1c	JQ703860	EU262720
K1c1d	JQ703292	JF819714
K1c1e	GU123011	JQ702901
K1c1f	JQ703815	HQ398201
K1c1g	JQ702722	JQ703189
K1c1h	KF736454	JX153393
K1c1i	HM032895	JN897373
K1c2	JN620369	JQ702129
K1c2a	GU323604	DQ830736
K1d	JQ704724	
K1d1	JX152800	JQ702254
K1e	JX293716	
K1e1	EU073969	JQ705063
K1f	EU810403	
K2a	AY495241	JQ702887
K2a1	JQ665461	
K2a1a	DQ301815	
K2a2	KF408388	AY495246
K2a2a	HQ154135	
K2a2a1	EU327986	JQ703629
K2a3	JQ704707	HM103361
K2a3a	JQ703540	
K2a3a1	AY495249	HM625707
K2a4	AY495242	JQ705156
K2a5	EU597528	JQ703018
K2a5a	JQ704076	
K2a5a1	EU718789	JQ704843
K2a5b	AY714017	KC911393
K2a6	AY495239	HQ213857
K2a7	JQ702380	EU284177
K2a8	DQ282493	DQ282503
K2a9	DQ112812	JQ702282
K2a10	KF030560	JQ702134
K2a11	EU884127	HG01334
K2b1	JQ704070	
K2b1a	JQ701883	KF644446
K2b1a1	JQ705092	JQ703767
K2b1a1a	JN409346	EU770310
K2b1a2	JF497777	JX847130
K2b1a3	EU294321	HG00128
K2b1a4	JQ702075	JX153873
K2b1b	JQ704064	JQ704900
K2b2	JX273249	KC911571
K2c	DQ301796	JX273247
K3	NA18539	HM852886
U8c	KC521459	
